durasi_manhour,id_work_center,id_proses,id_tipe_proses,id_kapasitas,id_kategori_produk
15,1,2,80,2,5
17,1,2,81,2,5
19,1,2,82,2,5
22,1,2,83,2,5
15,1,2,84,2,5
17,1,2,85,2,5
19,1,2,86,2,5
22,1,2,87,2,5
4,1,1,80,2,5
5,1,1,81,2,5
5,1,1,82,2,5
8,1,1,83,2,5
4,1,1,88,2,5
5,1,1,89,2,5
6,1,1,84,2,5
6.5,1,1,85,2,5
1,1,62,90,2,5
1.5,1,62,91,2,5
1,1,62,92,2,5
1,1,63,93,2,5
0.5,1,63,94,2,5
0.5,1,63,95,2,5
1,1,63,96,2,5
8,2,64,97,2,5
10,2,64,98,2,5
12,2,64,99,2,5
3,2,65,100,2,5
4,2,65,101,2,5
3,2,66,102,2,5
3,2,66,103,2,5
2,2,67,104,2,5
0.5,2,67,105,2,5
1,2,68,106,2,5
1,2,68,107,2,5
3,2,68,108,2,5
4,2,68,109,2,5
0.25,2,96,152,2,5
0.25,2,96,153,2,5
0.25,2,96,154,2,5
0.25,2,96,155,2,5
4,2,69,110,2,5
2,2,69,111,2,5
4,3,70,112,2,5
6,3,70,113,2,5
0.5,3,71,114,2,5
8,3,70,115,2,5
6,3,72,116,2,5
3,3,72,117,2,5
4,3,73,116,2,5
3,3,73,117,2,5
1,3,74,118,2,5
2,3,74,119,2,5
1.5,3,74,120,2,5
2.5,3,74,121,2,5
1,3,75,122,2,5
0.5,3,75,123,2,5
3,3,75,124,2,5
8,3,75,125,2,5
2,3,111,56,2,5
50,3,111,51,2,5
2,3,111,126,2,5
1,3,77,127,2,5
1,3,77,128,2,5
3.5,5,6,15,2,5
15,1,2,80,3,5
17,1,2,81,3,5
19,1,2,82,3,5
22,1,2,83,3,5
15,1,2,84,3,5
17,1,2,85,3,5
19,1,2,86,3,5
22,1,2,87,3,5
4,1,1,80,3,5
5,1,1,81,3,5
5,1,1,82,3,5
8,1,1,83,3,5
4,1,1,88,3,5
5,1,1,89,3,5
6,1,1,84,3,5
6.5,1,1,85,3,5
1,1,62,90,3,5
1.5,1,62,91,3,5
1,1,62,92,3,5
1,1,63,93,3,5
0.5,1,63,94,3,5
0.5,1,63,95,3,5
1,1,63,96,3,5
8,2,64,97,3,5
10,2,64,98,3,5
12,2,64,99,3,5
3,2,65,100,3,5
4,2,65,101,3,5
3,2,66,102,3,5
3,2,66,103,3,5
2,2,67,104,3,5
0.5,2,67,105,3,5
1,2,68,106,3,5
1,2,68,107,3,5
3,2,68,108,3,5
4,2,68,109,3,5
0.25,2,96,152,3,5
0.25,2,96,153,3,5
0.25,2,96,154,3,5
0.25,2,96,155,3,5
4,2,69,110,3,5
2,2,69,111,3,5
4,3,70,112,3,5
6,3,70,113,3,5
0.5,3,71,114,3,5
8,3,70,115,3,5
6,3,72,116,3,5
3,3,72,117,3,5
4,3,73,116,3,5
3,3,73,117,3,5
1,3,74,118,3,5
2,3,74,119,3,5
1.5,3,74,120,3,5
2.5,3,74,121,3,5
1,3,75,122,3,5
0.5,3,75,123,3,5
3,3,75,124,3,5
8,3,75,125,3,5
2,3,111,56,3,5
50,3,111,51,3,5
2,3,111,126,3,5
1,3,77,127,3,5
1,3,77,128,3,5
3.5,5,6,15,3,5
15,1,2,80,5,5
17,1,2,81,5,5
19,1,2,82,5,5
22,1,2,83,5,5
15,1,2,84,5,5
17,1,2,85,5,5
19,1,2,86,5,5
22,1,2,87,5,5
4,1,1,80,5,5
5,1,1,81,5,5
5,1,1,82,5,5
8,1,1,83,5,5
4,1,1,88,5,5
5,1,1,89,5,5
6,1,1,84,5,5
6.5,1,1,85,5,5
1,1,62,90,5,5
1.5,1,62,91,5,5
1,1,62,92,5,5
1,1,63,93,5,5
0.5,1,63,94,5,5
0.5,1,63,95,5,5
1,1,63,96,5,5
8,2,64,97,5,5
10,2,64,98,5,5
12,2,64,99,5,5
3,2,65,100,5,5
4,2,65,101,5,5
3,2,66,102,5,5
3,2,66,103,5,5
2,2,67,104,5,5
0.5,2,67,105,5,5
1,2,68,106,5,5
1,2,68,107,5,5
3,2,68,108,5,5
4,2,68,109,5,5
0.25,2,96,152,5,5
0.25,2,96,153,5,5
0.25,2,96,154,5,5
0.25,2,96,155,5,5
4,2,69,110,5,5
2,2,69,111,5,5
4,3,70,112,5,5
6,3,70,113,5,5
0.5,3,71,114,5,5
8,3,70,115,5,5
6,3,72,116,5,5
3,3,72,117,5,5
4,3,73,116,5,5
3,3,73,117,5,5
1,3,74,118,5,5
2,3,74,119,5,5
1.5,3,74,120,5,5
2.5,3,74,121,5,5
1,3,75,122,5,5
0.5,3,75,123,5,5
3,3,75,124,5,5
8,3,75,125,5,5
2,3,111,56,5,5
50,3,111,51,5,5
2,3,111,126,5,5
1,3,77,127,5,5
1,3,77,128,5,5
3.5,5,6,15,5,5
15,1,2,80,6,5
17,1,2,81,6,5
19,1,2,82,6,5
22,1,2,83,6,5
15,1,2,84,6,5
17,1,2,85,6,5
19,1,2,86,6,5
22,1,2,87,6,5
4,1,1,80,6,5
5,1,1,81,6,5
5,1,1,82,6,5
8,1,1,83,6,5
4,1,1,88,6,5
5,1,1,89,6,5
6,1,1,84,6,5
6.5,1,1,85,6,5
1,1,62,90,6,5
1.5,1,62,91,6,5
1,1,62,92,6,5
1,1,63,93,6,5
0.5,1,63,94,6,5
0.5,1,63,95,6,5
1,1,63,96,6,5
8,2,64,97,6,5
10,2,64,98,6,5
12,2,64,99,6,5
3,2,65,100,6,5
4,2,65,101,6,5
3,2,66,102,6,5
3,2,66,103,6,5
2,2,67,104,6,5
0.5,2,67,105,6,5
1,2,68,106,6,5
1,2,68,107,6,5
3,2,68,108,6,5
4,2,68,109,6,5
0.25,2,96,152,6,5
0.25,2,96,153,6,5
0.25,2,96,154,6,5
0.25,2,96,155,6,5
4,2,69,110,6,5
2,2,69,111,6,5
4,3,70,112,6,5
6,3,70,113,6,5
0.5,3,71,114,6,5
8,3,70,115,6,5
6,3,72,116,6,5
3,3,72,117,6,5
4,3,73,116,6,5
3,3,73,117,6,5
1,3,74,118,6,5
2,3,74,119,6,5
1.5,3,74,120,6,5
2.5,3,74,121,6,5
1,3,75,122,6,5
0.5,3,75,123,6,5
3,3,75,124,6,5
8,3,75,125,6,5
2,3,111,56,6,5
50,3,111,51,6,5
2,3,111,126,6,5
1,3,77,127,6,5
1,3,77,128,6,5
3.5,5,6,15,6,5
15,1,2,80,8,5
17,1,2,81,8,5
19,1,2,82,8,5
22,1,2,83,8,5
15,1,2,84,8,5
17,1,2,85,8,5
19,1,2,86,8,5
22,1,2,87,8,5
4,1,1,80,8,5
5,1,1,81,8,5
5,1,1,82,8,5
8,1,1,83,8,5
4,1,1,88,8,5
5,1,1,89,8,5
6,1,1,84,8,5
6.5,1,1,85,8,5
1,1,62,90,8,5
1.5,1,62,91,8,5
1,1,62,92,8,5
1,1,63,93,8,5
0.5,1,63,94,8,5
0.5,1,63,95,8,5
1,1,63,96,8,5
8,2,64,97,8,5
10,2,64,98,8,5
12,2,64,99,8,5
3,2,65,100,8,5
4,2,65,101,8,5
3,2,66,102,8,5
3,2,66,103,8,5
2,2,67,104,8,5
0.5,2,67,105,8,5
1,2,68,106,8,5
1,2,68,107,8,5
3,2,68,108,8,5
4,2,68,109,8,5
0.25,2,96,152,8,5
0.25,2,96,153,8,5
0.25,2,96,154,8,5
0.25,2,96,155,8,5
4,2,69,110,8,5
2,2,69,111,8,5
4,3,70,112,8,5
6,3,70,113,8,5
0.5,3,71,114,8,5
8,3,70,115,8,5
6,3,72,116,8,5
3,3,72,117,8,5
4,3,73,116,8,5
3,3,73,117,8,5
1,3,74,118,8,5
2,3,74,119,8,5
1.5,3,74,120,8,5
2.5,3,74,121,8,5
1,3,75,122,8,5
0.5,3,75,123,8,5
3,3,75,124,8,5
8,3,75,125,8,5
2,3,111,56,8,5
50,3,111,51,8,5
2,3,111,126,8,5
1,3,77,127,8,5
1,3,77,128,8,5
3.5,5,6,15,8,5
15,1,2,80,21,5
17,1,2,81,21,5
19,1,2,82,21,5
22,1,2,83,21,5
15,1,2,84,21,5
17,1,2,85,21,5
19,1,2,86,21,5
22,1,2,87,21,5
4,1,1,80,21,5
5,1,1,81,21,5
5,1,1,82,21,5
8,1,1,83,21,5
4,1,1,88,21,5
5,1,1,89,21,5
6,1,1,84,21,5
6.5,1,1,85,21,5
1,1,62,90,21,5
1.5,1,62,91,21,5
1,1,62,92,21,5
1,1,63,93,21,5
0.5,1,63,94,21,5
0.5,1,63,95,21,5
1,1,63,96,21,5
8,2,64,97,21,5
10,2,64,98,21,5
12,2,64,99,21,5
3,2,65,100,21,5
4,2,65,101,21,5
3,2,66,102,21,5
3,2,66,103,21,5
2,2,67,104,21,5
0.5,2,67,105,21,5
1,2,68,106,21,5
1,2,68,107,21,5
3,2,68,108,21,5
4,2,68,109,21,5
0.25,2,96,152,21,5
0.25,2,96,153,21,5
0.25,2,96,154,21,5
0.25,2,96,155,21,5
4,2,69,110,21,5
2,2,69,111,21,5
4,3,70,112,21,5
6,3,70,113,21,5
0.5,3,71,114,21,5
8,3,70,115,21,5
6,3,72,116,21,5
3,3,72,117,21,5
4,3,73,116,21,5
3,3,73,117,21,5
1,3,74,118,21,5
2,3,74,119,21,5
1.5,3,74,120,21,5
2.5,3,74,121,21,5
1,3,75,122,21,5
0.5,3,75,123,21,5
3,3,75,124,21,5
8,3,75,125,21,5
2,3,111,56,21,5
50,3,111,51,21,5
2,3,111,126,21,5
1,3,77,127,21,5
1,3,77,128,21,5
3.5,5,6,15,21,5
15,1,2,80,11,5
17,1,2,81,11,5
19,1,2,82,11,5
22,1,2,83,11,5
15,1,2,84,11,5
17,1,2,85,11,5
19,1,2,86,11,5
22,1,2,87,11,5
4,1,1,80,11,5
5,1,1,81,11,5
5,1,1,82,11,5
8,1,1,83,11,5
4,1,1,88,11,5
5,1,1,89,11,5
6,1,1,84,11,5
6.5,1,1,85,11,5
1,1,62,90,11,5
1.5,1,62,91,11,5
1,1,62,92,11,5
1,1,63,93,11,5
0.5,1,63,94,11,5
0.5,1,63,95,11,5
1,1,63,96,11,5
8,2,64,97,11,5
10,2,64,98,11,5
12,2,64,99,11,5
3,2,65,100,11,5
4,2,65,101,11,5
3,2,66,102,11,5
3,2,66,103,11,5
2,2,67,104,11,5
0.5,2,67,105,11,5
1,2,68,106,11,5
1,2,68,107,11,5
3,2,68,108,11,5
4,2,68,109,11,5
0.25,2,96,152,11,5
0.25,2,96,153,11,5
0.25,2,96,154,11,5
0.25,2,96,155,11,5
4,2,69,110,11,5
2,2,69,111,11,5
4,3,70,112,11,5
6,3,70,113,11,5
0.5,3,71,114,11,5
8,3,70,115,11,5
6,3,72,116,11,5
3,3,72,117,11,5
4,3,73,116,11,5
3,3,73,117,11,5
1,3,74,118,11,5
2,3,74,119,11,5
1.5,3,74,120,11,5
2.5,3,74,121,11,5
1,3,75,122,11,5
0.5,3,75,123,11,5
3,3,75,124,11,5
8,3,75,125,11,5
2,3,111,56,11,5
50,3,111,51,11,5
2,3,111,126,11,5
1,3,77,127,11,5
1,3,77,128,11,5
3.5,5,6,15,11,5
15,1,2,80,12,5
17,1,2,81,12,5
19,1,2,82,12,5
22,1,2,83,12,5
15,1,2,84,12,5
17,1,2,85,12,5
19,1,2,86,12,5
22,1,2,87,12,5
4,1,1,80,12,5
5,1,1,81,12,5
5,1,1,82,12,5
8,1,1,83,12,5
4,1,1,88,12,5
5,1,1,89,12,5
7,1,1,84,12,5
7.5,1,1,85,12,5
1,1,62,90,12,5
1.5,1,62,91,12,5
1,1,62,92,12,5
1,1,63,93,12,5
0.5,1,63,94,12,5
0.5,1,63,95,12,5
1,1,63,96,12,5
8,2,64,97,12,5
10,2,64,98,12,5
12,2,64,99,12,5
3,2,65,100,12,5
4,2,65,101,12,5
3,2,66,102,12,5
3,2,66,103,12,5
2,2,67,104,12,5
0.5,2,67,105,12,5
1,2,68,106,12,5
1,2,68,107,12,5
3,2,68,108,12,5
4,2,68,109,12,5
0.25,2,96,152,12,5
0.25,2,96,153,12,5
0.25,2,96,154,12,5
0.25,2,96,155,12,5
4,2,69,110,12,5
2,2,69,111,12,5
4,3,70,112,12,5
6,3,70,113,12,5
0.5,3,71,114,12,5
8,3,70,115,12,5
6,3,72,116,12,5
3,3,72,117,12,5
4,3,73,116,12,5
3,3,73,117,12,5
1,3,74,118,12,5
2,3,74,119,12,5
1.5,3,74,120,12,5
2.5,3,74,121,12,5
1,3,75,122,12,5
0.5,3,75,123,12,5
3,3,75,124,12,5
8,3,75,125,12,5
2,3,111,56,12,5
50,3,111,51,12,5
2,3,111,126,12,5
1,3,77,127,12,5
1,3,77,128,12,5
3.5,5,6,15,12,5
21,1,2,80,13,5
17,1,2,81,13,5
20,1,2,82,13,5
23,1,2,83,13,5
21,1,2,84,13,5
17,1,2,85,13,5
20,1,2,86,13,5
23,1,2,87,13,5
4,1,1,80,13,5
5,1,1,81,13,5
5,1,1,82,13,5
8,1,1,83,13,5
4,1,1,88,13,5
5,1,1,89,13,5
7,1,1,84,13,5
7.5,1,1,85,13,5
1,1,62,90,13,5
1.5,1,62,91,13,5
1,1,62,92,13,5
1,1,63,93,13,5
0.5,1,63,94,13,5
0.5,1,63,95,13,5
1,1,63,96,13,5
8,2,64,97,13,5
10,2,64,98,13,5
12,2,64,99,13,5
3,2,65,100,13,5
4,2,65,101,13,5
3,2,66,102,13,5
3,2,66,103,13,5
2,2,67,104,13,5
0.5,2,67,105,13,5
1,2,68,106,13,5
1,2,68,107,13,5
3,2,68,108,13,5
4,2,68,109,13,5
0.25,2,96,152,13,5
0.25,2,96,153,13,5
0.25,2,96,154,13,5
0.25,2,96,155,13,5
4,2,69,110,13,5
2,2,69,111,13,5
4,3,70,112,13,5
6,3,70,113,13,5
0.5,3,71,114,13,5
8,3,70,115,13,5
6,3,72,116,13,5
3,3,72,117,13,5
4,3,73,116,13,5
3,3,73,117,13,5
1,3,74,118,13,5
2,3,74,119,13,5
1.5,3,74,120,13,5
2.5,3,74,121,13,5
1,3,75,122,13,5
0.5,3,75,123,13,5
4,3,75,124,13,5
8,3,75,125,13,5
2,3,111,56,13,5
50,3,111,51,13,5
2,3,111,126,13,5
1,3,77,127,13,5
1,3,77,128,13,5
3.5,5,6,15,13,5
21,1,2,80,15,5
17,1,2,81,15,5
20,1,2,82,15,5
23,1,2,83,15,5
21,1,2,84,15,5
17,1,2,85,15,5
20,1,2,86,15,5
23,1,2,87,15,5
4,1,1,80,15,5
5,1,1,81,15,5
5,1,1,82,15,5
8,1,1,83,15,5
4,1,1,88,15,5
5,1,1,89,15,5
7,1,1,84,15,5
7.5,1,1,85,15,5
1,1,62,90,15,5
1.5,1,62,91,15,5
1,1,62,92,15,5
1,1,63,93,15,5
0.5,1,63,94,15,5
0.5,1,63,95,15,5
1,1,63,96,15,5
8,2,64,97,15,5
10,2,64,98,15,5
12,2,64,99,15,5
3,2,65,100,15,5
4,2,65,101,15,5
3,2,66,102,15,5
3,2,66,103,15,5
2,2,67,104,15,5
0.5,2,67,105,15,5
1,2,68,106,15,5
1,2,68,107,15,5
3,2,68,108,15,5
4,2,68,109,15,5
0.25,2,96,152,15,5
0.25,2,96,153,15,5
0.25,2,96,154,15,5
0.25,2,96,155,15,5
4,2,69,110,15,5
2,2,69,111,15,5
4,3,70,112,15,5
6,3,70,113,15,5
0.5,3,71,114,15,5
8,3,70,115,15,5
6,3,72,116,15,5
3,3,72,117,15,5
4,3,73,116,15,5
3,3,73,117,15,5
1,3,74,118,15,5
2,3,74,119,15,5
1.5,3,74,120,15,5
2.5,3,74,121,15,5
1,3,75,122,15,5
0.5,3,75,123,15,5
4,3,75,124,15,5
8,3,75,125,15,5
2,3,111,56,15,5
50,3,111,51,15,5
2,3,111,126,15,5
1,3,77,127,15,5
1,3,77,128,15,5
3.5,5,6,15,15,5
21,1,2,80,17,5
17,1,2,81,17,5
20,1,2,82,17,5
23,1,2,83,17,5
21,1,2,84,17,5
17,1,2,85,17,5
20,1,2,86,17,5
23,1,2,87,17,5
4,1,1,80,17,5
5,1,1,81,17,5
5,1,1,82,17,5
8,1,1,83,17,5
4,1,1,88,17,5
5,1,1,89,17,5
7,1,1,84,17,5
7.5,1,1,85,17,5
1,1,62,90,17,5
1.5,1,62,91,17,5
1,1,62,92,17,5
1,1,63,93,17,5
0.5,1,63,94,17,5
0.5,1,63,95,17,5
1,1,63,96,17,5
8,2,64,97,17,5
10,2,64,98,17,5
12,2,64,99,17,5
3,2,65,100,17,5
4,2,65,101,17,5
3,2,66,102,17,5
3,2,66,103,17,5
2,2,67,104,17,5
0.5,2,67,105,17,5
1,2,68,106,17,5
1,2,68,107,17,5
3,2,68,108,17,5
4,2,68,109,17,5
0.25,2,96,152,17,5
0.25,2,96,153,17,5
0.25,2,96,154,17,5
0.25,2,96,155,17,5
4,2,69,110,17,5
2,2,69,111,17,5
4,3,70,112,17,5
6,3,70,113,17,5
0.5,3,71,114,17,5
8,3,70,115,17,5
6,3,72,116,17,5
3,3,72,117,17,5
4,3,73,116,17,5
3,3,73,117,17,5
1,3,74,118,17,5
2,3,74,119,17,5
1.5,3,74,120,17,5
2.5,3,74,121,17,5
1,3,75,122,17,5
0.5,3,75,123,17,5
4,3,75,124,17,5
8,3,75,125,17,5
2,3,111,56,17,5
50,3,111,51,17,5
2,3,111,126,17,5
1,3,77,127,17,5
1,3,77,128,17,5
3.5,5,6,15,17,5
22,1,2,80,20,5
23,1,2,81,20,5
25,1,2,82,20,5
28,1,2,83,20,5
22,1,2,84,20,5
23,1,2,85,20,5
25,1,2,86,20,5
28,1,2,87,20,5
10,1,1,80,20,5
11,1,1,81,20,5
13,1,1,82,20,5
15,1,1,83,20,5
5,1,1,88,20,5
6,1,1,89,20,5
7,1,1,84,20,5
7.5,1,1,85,20,5
1,1,62,90,20,5
1.5,1,62,91,20,5
1,1,62,92,20,5
1,1,63,93,20,5
0.5,1,63,94,20,5
0.5,1,63,95,20,5
1,1,63,96,20,5
8,2,64,97,20,5
10,2,64,98,20,5
12,2,64,99,20,5
3,2,65,100,20,5
4,2,65,101,20,5
3,2,66,102,20,5
3,2,66,103,20,5
2,2,67,104,20,5
0.5,2,67,105,20,5
1,2,68,106,20,5
1,2,68,107,20,5
3,2,68,108,20,5
4,2,68,109,20,5
0.25,2,96,152,20,5
0.25,2,96,153,20,5
0.25,2,96,154,20,5
0.25,2,96,155,20,5
4,2,69,110,20,5
2,2,69,111,20,5
7,3,70,112,20,5
9,3,70,113,20,5
0.5,3,71,114,20,5
8,3,70,115,20,5
6,3,72,116,20,5
3,3,72,117,20,5
4,3,73,116,20,5
3,3,73,117,20,5
1,3,74,118,20,5
2,3,74,119,20,5
1.5,3,74,120,20,5
2.5,3,74,121,20,5
1,3,75,122,20,5
0.5,3,75,123,20,5
4,3,75,124,20,5
8,3,75,125,20,5
2,3,111,56,20,5
50,3,111,51,20,5
2,3,111,126,20,5
1,3,77,127,20,5
1,3,77,128,20,5
3.5,5,6,15,20,5
22,1,2,80,21,5
23,1,2,81,21,5
25,1,2,82,21,5
28,1,2,83,21,5
22,1,2,84,21,5
23,1,2,85,21,5
25,1,2,86,21,5
28,1,2,87,21,5
10,1,1,80,21,5
11,1,1,81,21,5
13,1,1,82,21,5
15,1,1,83,21,5
5,1,1,88,21,5
6,1,1,89,21,5
7,1,1,84,21,5
7.5,1,1,85,21,5
2,1,62,90,21,5
1.5,1,62,91,21,5
1,1,62,92,21,5
1,1,63,93,21,5
0.5,1,63,94,21,5
0.5,1,63,95,21,5
1,1,63,96,21,5
8,2,64,97,21,5
10,2,64,98,21,5
12,2,64,99,21,5
3,2,65,100,21,5
4,2,65,101,21,5
3,2,66,102,21,5
3,2,66,103,21,5
2,2,67,104,21,5
0.5,2,67,105,21,5
1,2,68,106,21,5
1,2,68,107,21,5
3,2,68,108,21,5
4,2,68,109,21,5
0.25,2,96,152,21,5
0.25,2,96,153,21,5
0.25,2,96,154,21,5
0.25,2,96,155,21,5
4,2,69,110,21,5
2,2,69,111,21,5
7,3,70,112,21,5
9,3,70,113,21,5
0.5,3,71,114,21,5
8,3,70,115,21,5
6,3,72,116,21,5
3,3,72,117,21,5
5,3,73,116,21,5
4,3,73,117,21,5
1.5,3,74,118,21,5
3,3,74,119,21,5
1.75,3,74,120,21,5
2.5,3,74,121,21,5
1,3,75,122,21,5
0.75,3,75,123,21,5
4,3,75,124,21,5
8,3,75,125,21,5
2,3,111,56,21,5
50,3,111,51,21,5
2,3,111,126,21,5
1.25,3,77,127,21,5
1.25,3,77,128,21,5
3.5,5,6,15,21,5
22,1,2,80,22,5
23,1,2,81,22,5
25,1,2,82,22,5
28,1,2,83,22,5
22,1,2,84,22,5
23,1,2,85,22,5
25,1,2,86,22,5
28,1,2,87,22,5
10,1,1,80,22,5
11,1,1,81,22,5
13,1,1,82,22,5
15,1,1,83,22,5
5,1,1,88,22,5
6,1,1,89,22,5
8,1,1,84,22,5
8.5,1,1,85,22,5
2,1,62,90,22,5
1.5,1,62,91,22,5
1,1,62,92,22,5
1,1,63,93,22,5
0.5,1,63,94,22,5
0.5,1,63,95,22,5
1,1,63,96,22,5
8,2,64,97,22,5
10,2,64,98,22,5
12,2,64,99,22,5
3,2,65,100,22,5
4,2,65,101,22,5
3,2,66,102,22,5
3,2,66,103,22,5
2,2,67,104,22,5
0.5,2,67,105,22,5
1,2,68,106,22,5
1,2,68,107,22,5
3,2,68,108,22,5
4,2,68,109,22,5
0.25,2,96,152,22,5
0.25,2,96,153,22,5
0.25,2,96,154,22,5
0.25,2,96,155,22,5
4,2,69,110,22,5
2,2,69,111,22,5
7,3,70,112,22,5
9,3,70,113,22,5
0.5,3,71,114,22,5
8,3,70,115,22,5
6,3,72,116,22,5
3,3,72,117,22,5
5,3,73,116,22,5
4,3,73,117,22,5
1.5,3,74,118,22,5
3,3,74,119,22,5
1.75,3,74,120,22,5
2.5,3,74,121,22,5
1,3,75,122,22,5
0.75,3,75,123,22,5
4,3,75,124,22,5
8,3,75,125,22,5
2,3,111,56,22,5
50,3,111,51,22,5
2,3,111,126,22,5
1.25,3,77,127,22,5
1.25,3,77,128,22,5
3.5,5,6,15,22,5
